----------------------------------------------------------------------------------------------------------------------------------------------------
|       Fiber        |       Matrix       | Compliance (N.mm)  |      Mass (g)      |    CO2 (kgCO2)     |        Iter        |      Time (s)      |
----------------------------------------------------------------------------------------------------------------------------------------------------
|       bamboo       |     cellulose      |      2728.581      |       28.759       |      2836.394      |        150         |      1886.26       |
|       bamboo       |        pla         |      2408.549      |       34.514       |      3403.952      |        144         |      1685.40       |
|       bamboo       |        petg        |      2993.373      |       33.771       |      3330.684      |        150         |      1764.49       |
|       bamboo       |       epoxy        |      3094.289      |       33.330       |      3287.197      |        150         |      1854.59       |
|       bamboo       |     polyester      |      2651.283      |       34.818       |      3433.964      |        150         |      1763.85       |
|        flax        |     cellulose      |      1030.473      |       39.620       |      3907.501      |        113         |      1317.87       |
|        flax        |        pla         |      1203.654      |       44.422       |      4381.098      |        130         |      1516.93       |
|        flax        |        petg        |      1098.261      |       43.889       |      4328.526      |         91         |      1063.07       |
|        flax        |       epoxy        |      1052.098      |       43.889       |      4328.553      |         74         |       864.05       |
|        flax        |     polyester      |      1183.454      |       45.985       |      4535.308      |        150         |      1755.13       |
|        hemp        |     cellulose      |      935.174       |       39.925       |      3937.646      |        101         |      1185.38       |
|        hemp        |        pla         |      978.297       |       44.749       |      4413.299      |        120         |      1414.47       |
|        hemp        |        petg        |      966.708       |       44.329       |      4371.971      |         97         |      1130.72       |
|        hemp        |       epoxy        |      951.734       |       44.160       |      4355.280      |         84         |       981.66       |
|        hemp        |     polyester      |      890.498       |       46.307       |      4567.036      |        147         |      1726.24       |
|      hmcarbon      |     cellulose      |      172.522       |       49.805       |      4914.244      |        150         |      1761.28       |
|      hmcarbon      |        pla         |      132.831       |       54.617       |      5388.779      |        150         |      1765.90       |
|      hmcarbon      |        petg        |      194.961       |       52.991       |      5228.486      |        150         |      1859.43       |
|      hmcarbon      |       epoxy        |      232.555       |       53.671       |      5295.567      |        147         |      1717.53       |
|      hmcarbon      |     polyester      |      147.232       |       56.175       |      5542.539      |         61         |       708.33       |
|      lmcarbon      |     cellulose      |      339.912       |       45.255       |      4463.866      |         60         |       697.02       |
|      lmcarbon      |        pla         |      387.917       |       49.988       |      4930.536      |        150         |      1756.90       |
|      lmcarbon      |        petg        |      376.677       |       49.785       |      4910.587      |        127         |      1496.47       |
|      lmcarbon      |       epoxy        |      374.834       |       49.492       |      4881.706      |         78         |       969.84       |
|      lmcarbon      |     polyester      |      296.421       |       51.545       |      5084.169      |         85         |      1079.95       |
|       sglass       |     cellulose      |      688.583       |       55.608       |      5484.372      |        107         |      1395.55       |
|       sglass       |        pla         |      630.008       |       60.844       |      6000.741      |        130         |      1689.87       |
|       sglass       |        petg        |      773.199       |       60.527       |      5969.497      |        100         |      1182.30       |
|       sglass       |       epoxy        |      755.418       |       60.421       |      5959.074      |        110         |      1290.13       |
|       sglass       |     polyester      |      685.044       |       61.435       |      6059.046      |        105         |      1227.24       |
|       eglass       |     cellulose      |      741.430       |       57.420       |      5663.115      |        118         |      1385.04       |
|       eglass       |        pla         |      708.903       |       62.044       |      6119.121      |        102         |      1196.10       |
|       eglass       |        petg        |      1514.021      |       61.856       |      6100.543      |        150         |      1772.64       |
|       eglass       |       epoxy        |      1239.116      |       61.638       |      6079.106      |        150         |      1774.85       |
|       eglass       |     polyester      |      1024.878      |       63.679       |      6280.398      |        150         |      1781.57       |
----------------------------------------------------------------------------------------------------------------------------------------------------
